Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,634,Qatar,QAT,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,2000,,2000,,2102,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,642,Romania,ROU,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,1,,1,,11,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,682,Saudi Arabia,SAU,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,3882,,3882,,14912,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,1415,,1415,,9554,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,710,South Africa,ZAF,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,70,,70,,11037,,,0
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,724,Spain,ESP,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,11160,,11160,,13007,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,724,Spain,ESP,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,13,,13,,616,,,0
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,752,Sweden,SWE,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,1,,1,,61,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,752,Sweden,SWE,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,2808,,2808,,17307,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,7099,,7099,,35192,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,11,,11,,3956,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,807,TFYR of Macedonia,MKD,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,72446,,72446,,170510,,,0
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,842,USA,USA,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,676,,676,,43924,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,458,,458,,24576,,,0
