council_area,health_board,pct_school_attend,alcohol,pct_income_deprived,pct_employment_deprived,mortality,drugs,pct_depress,pct_low_bw,hosp_emerg,pct_no_heating,pct_overcrowded,simd_2016_quintile,urban
Aberdeen City,Grampian,66,371,21,17,141,762,20,9,142,4,19.07,1,1
Aberdeen City,Grampian,61,238,20,14,187,651,15,13,151,1,17.42,1,1
Aberdeen City,Grampian,60,239,24,18,138,299,18,3,138,1,21.82,1,1
Aberdeen City,Grampian,76,409,19,20,138,1048,20,2,174,2,18.4,1,1
Aberdeen City,Grampian,63,259,14,11,120,119,15,9,150,1,18.29,2,1
Aberdeen City,Grampian,79,179,3,3,139,0,15,0,96,2,9.33,5,1
Aberdeen City,Grampian,60,237,21,15,117,375,14,9,127,2,19.15,2,1
Aberdeen City,Grampian,68,147,14,11,154,277,26,2,103,3,21.12,2,1
Aberdeen City,Grampian,60,293,21,13,168,168,15,3,156,2,23.21,2,1
Aberdeen City,Grampian,63,196,20,13,100,68,15,4,127,2,21.56,2,1
Aberdeen City,Grampian,54,526,23,24,193,515,26,13,185,3,23.83,1,1
Aberdeen City,Grampian,74,234,18,17,141,319,22,9,109,3,17.97,1,1
Aberdeen City,Grampian,78,107,13,9,114,148,16,2,120,1,15.92,3,1
Aberdeen City,Grampian,73,147,13,10,114,175,17,4,105,1,14.41,3,1
Aberdeen City,Grampian,83,59,8,5,101,0,18,0,99,0,9.07,4,1
Aberdeen City,Grampian,88,30,1,0,74,0,10,12,69,1,6.68,5,1
Aberdeen City,Grampian,69,95,7,7,83,115,18,0,85,1,13.47,4,1
Aberdeen City,Grampian,78,36,2,3,75,39,13,10,63,1,8.23,5,1
Aberdeen City,Grampian,77,38,6,5,77,35,14,0,81,1,6.78,5,1
Aberdeen City,Grampian,80,97,8,5,86,42,14,7,89,2,22.68,4,1
Aberdeen City,Grampian,80,279,17,15,111,675,27,7,139,2,12.02,2,1
Aberdeen City,Grampian,84,241,7,10,83,124,20,3,115,1,8.43,3,1
Aberdeen City,Grampian,83,134,14,10,79,131,19,7,118,1,23.2,2,1
Aberdeen City,Grampian,78,255,12,11,98,201,20,3,124,1,15.44,2,1
Aberdeen City,Grampian,76,213,19,15,111,335,23,7,143,2,17.95,2,1
Aberdeen City,Grampian,82,143,5,2,123,51,14,8,100,1,19.96,4,1
Aberdeen City,Grampian,81,98,11,11,92,132,18,5,117,1,14.58,2,1
Aberdeen City,Grampian,79,160,22,11,123,145,22,2,148,0,23.63,2,1
Aberdeen City,Grampian,76,62,8,6,71,37,16,3,97,0,18,4,1
Aberdeen City,Grampian,69,87,14,10,116,338,17,6,157,1,20,2,1
Aberdeen City,Grampian,80,237,21,19,89,309,23,10,170,0,19.5,1,1
Aberdeen City,Grampian,68,77,15,13,74,126,22,8,101,1,14.21,2,1
Aberdeen City,Grampian,77,324,10,9,124,422,20,3,153,3,16.8,2,1
Aberdeen City,Grampian,74,343,23,16,96,996,20,4,170,1,16.79,1,1
Aberdeen City,Grampian,83,121,11,10,84,0,18,15,140,1,16.2,3,1
Aberdeen City,Grampian,77,148,12,10,132,62,19,10,116,1,12.64,2,1
Aberdeen City,Grampian,90,124,10,8,120,123,18,0,127,1,7.97,3,1
Aberdeen City,Grampian,82,188,18,22,96,167,26,16,122,1,13.38,1,1
Aberdeen City,Grampian,86,82,7,8,83,0,17,5,89,0,13.36,3,1
Aberdeen City,Grampian,70,153,12,8,122,31,20,3,123,1,23.8,2,1
Aberdeen City,Grampian,68,59,12,9,76,0,19,0,119,0,12.76,3,1
Aberdeen City,Grampian,66,208,19,10,92,226,17,6,142,0,21.99,2,1
Aberdeen City,Grampian,68,145,17,14,105,237,20,8,142,2,14.36,2,1
Aberdeen City,Grampian,74,128,15,9,131,187,21,8,146,1,16.94,2,1
Aberdeen City,Grampian,66,79,12,9,53,146,21,4,117,0,17.86,2,1
Aberdeen City,Grampian,73,201,13,10,116,390,19,3,154,1,16.59,2,1
Aberdeen City,Grampian,69,120,15,13,92,342,21,14,112,2,19.08,2,1
Aberdeen City,Grampian,72,240,16,12,94,176,17,9,140,1,15.65,2,1
Aberdeen City,Grampian,64,193,13,10,128,148,17,0,156,0,18.73,2,1
Aberdeen City,Grampian,71,58,13,12,104,187,18,5,122,1,13.95,2,1
Aberdeen City,Grampian,64,102,25,16,96,298,20,5,166,2,27.96,1,1
Aberdeen City,Grampian,74,131,14,14,116,227,23,9,154,0,17.47,2,1
Aberdeen City,Grampian,64,257,22,13,147,301,15,8,165,0,28.76,1,1
Aberdeen City,Grampian,62,275,18,17,207,399,23,7,160,2,24.37,1,1
Aberdeen City,Grampian,71,93,11,8,112,145,18,3,103,1,13.93,2,1
Aberdeen City,Grampian,65,234,23,16,110,342,21,8,170,0,23.59,1,1
Aberdeen City,Grampian,73,177,9,7,79,242,13,3,135,2,14.63,2,1
Aberdeen City,Grampian,82,144,17,16,78,247,22,5,128,1,18.54,2,1
Aberdeen City,Grampian,89,26,6,2,106,0,11,8,62,2,7.29,4,0
Aberdeen City,Grampian,96,21,1,0,60,0,11,10,69,0,1.56,5,0
Aberdeen City,Grampian,94,98,2,2,143,0,15,2,60,0,1.32,5,0
Aberdeen City,Grampian,93,62,1,1,80,0,13,0,69,0,3.56,5,0
Aberdeen City,Grampian,93,33,2,1,97,0,9,4,71,0,0.56,5,0
Aberdeen City,Grampian,91,55,1,3,81,0,13,0,70,0,5.68,5,0
