Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,Release,Revenues,year
232,9,22,0,2,Rambo: First Blood Part II (TriStar),22-May-85,"$150,415,193 ",1985
233,139,59,24,16,Terminator 3: Rise of the Machines (Warner Bros.),02-Jul-03,"$150,371,148 ",2003
234,54,103,6,20,G.I. Joe: The Rise of Cobra (Paramount),07-Aug-09,"$150,201,919 ",2009
235,116,23,19,3,Puss in Boots (2011) (Paramount / DreamWorks),28-Oct-11,"$149,260,504 ",2011
236,209,22,40,3,Knocked Up (Universal),01-Jun-07,"$148,768,421 ",2007
237,65,11,19,2,As Good as It Gets (Sony / TriStar),23-Dec-97,"$148,478,260 ",1997
238,14,130,1,28,Little Fockers (Universal),22-Dec-10,"$148,438,600 ",2010
239,126,47,23,9,Megamind (Paramount / DreamWorks),05-Nov-10,"$148,415,853 ",2010
240,132,51,29,12,Talladega Nights: The Ballad of Ricky Bobby (Sony / Columbia),04-Aug-06,"$148,213,093 ",2006
241,177,45,31,12,Gran Torino (Warner Bros.),12-Dec-08,"$148,095,382 ",2008
242,30,6,5,0,Lethal Weapon 2 (Warner Bros.),07-Jul-89,"$147,307,168 ",1989
243,210,31,29,12,X-Men: First Class (Fox),03-Jun-11,"$146,408,305 ",2011
244,37,76,8,19,Paul Blart: Mall Cop (Sony / Columbia),16-Jan-09,"$146,336,624 ",2009
245,33,13,5,4,True Lies (Fox),15-Jul-94,"$146,282,462 ",1994
246,124,21,23,7,Lilo & Stitch (Disney),21-Jun-02,"$145,783,422 ",2002
247,66,60,9,24,American Pie 2 (Universal),10-Aug-01,"$145,103,924 ",2001
248,98,70,15,21,Taken (Fox),30-Jan-09,"$145,000,403 ",2009
249,36,1,5,0,101 Dalmatians (1961) (Disney),25-Jan-61,"$144,880,212 ",1961
250,32,8,4,2,The Santa Clause (Disney),11-Nov-94,"$144,833,975 ",1994
251,113,81,18,19,"I, Robot (Fox)",16-Jul-04,"$144,795,113 ",2004
252,24,19,3,6,Lethal Weapon 3 (Warner Bros.),15-May-92,"$144,731,292 ",1992
253,76,69,21,13,The Fast and the Furious (Universal),22-Jun-01,"$144,533,907 ",2001
254,22,28,4,4,Doctor Dolittle (1998) (Fox),26-Jun-98,"$144,156,756 ",1998
255,96,81,17,23,Mamma Mia! (Universal),18-Jul-08,"$144,130,725 ",2008
256,58,76,10,16,Hotel Transylvania (Sony / Columbia),28-Sep-12,"$143,923,820 ",2012
257,102,40,18,8,Rio (2011) (Fox),15-Apr-11,"$143,619,809 ",2011
258,194,12,38,0,Juno (Fox Searchlight),05-Dec-07,"$143,495,248 ",2007
259,85,50,18,16,Marley & Me (Fox),25-Dec-08,"$143,153,015 ",2008
260,26,87,5,16,The Smurfs (Sony / Columbia),29-Jul-11,"$142,614,158 ",2011
261,86,92,12,21,XXX (Sony / Columbia),09-Aug-02,"$142,109,000 ",2002
262,125,62,24,15,The Chronicles of Narnia: Prince Caspian (Disney),16-May-08,"$141,621,918 ",2008
263,38,4,4,1,National Lampoon's Animal House (Universal),28-Jul-78,"$141,600,129 ",1978
264,29,23,10,4,Pocahontas (Disney),16-Jun-95,"$141,579,941 ",1995
265,35,8,8,1,A Few Good Men (Columbia),11-Dec-92,"$141,340,483 ",1992
266,212,14,38,2,Slumdog Millionaire (Fox Searchlight),12-Nov-08,"$141,319,441 ",2008
267,40,26,7,8,Rush Hour (New Line),18-Sep-98,"$141,186,224 ",1998
268,118,18,28,3,The Blair Witch Project (Artisan),14-Jul-99,"$140,539,251 ",1999
269,24,27,2,4,Deep Impact (Paramount),08-May-98,"$140,464,310 ",1998
270,30,127,7,24,Rush Hour 3 (New Line),10-Aug-07,"$140,125,005 ",2007
271,19,14,2,5,Look Who's Talking (TriStar),13-Oct-89,"$140,088,166 ",1989
272,64,33,17,13,Stuart Little (Sony / Columbia),17-Dec-99,"$140,035,011 ",1999
273,30,9,0,3,The Rocky Horror Picture Show (Fox),26-Sep-75,"$139,876,106 ",1975
274,15,6,2,1,Sister Act (Disney),29-May-92,"$139,605,188 ",1992
275,74,133,10,28,The Matrix Revolutions (Warner Bros.),05-Nov-03,"$139,313,424 ",2003
276,62,51,14,15,The Santa Clause 2 (Disney),01-Nov-02,"$139,236,262 ",2002
277,207,12,36,1,The King's Speech (Weinstein Company),26-Nov-10,"$138,797,449 ",2010
278,26,87,10,21,Cheaper by the Dozen (Fox),25-Dec-03,"$138,614,076 ",2003
279,37,125,6,34,Bad Boys II (Sony / Columbia),18-Jul-03,"$138,608,489 ",2003
280,39,6,7,3,Platoon (Orion),19-Dec-86,"$138,530,553 ",1986
281,174,31,33,5,21 Jump Street (Sony / Columbia),16-Mar-12,"$138,447,667 ",2012
282,67,2,16,0,Good Will Hunting (Miramax),05-Dec-97,"$138,433,880 ",1997
283,63,4,15,2,Star Wars: Special Edition (Fox),31-Jan-97,"$138,257,865 ",1997
284,33,123,8,22,Taken 2 (Fox),05-Oct-12,"$138,132,493 ",2012
285,100,86,17,16,Disney's A Christmas Carol (Disney),06-Nov-09,"$137,785,051 ",2009
286,79,43,20,11,Dinosaur (Disney),19-May-00,"$137,748,601 ",2000
287,54,112,11,26,Click (Sony / Columbia),23-Jun-06,"$137,355,347 ",2006
288,105,27,24,9,The Green Mile (Warner Bros.),10-Dec-99,"$136,801,509 ",1999
289,24,9,5,3,Ransom (Disney),08-Nov-96,"$136,492,894 ",1996
290,16,46,4,6,Godzilla (1998) (Sony / TriStar),20-May-98,"$136,314,861 ",1998
291,13,20,1,5,101 Dalmatians (1996) (Disney),27-Nov-96,"$136,189,436 ",1996
292,82,107,18,22,Anger Management (Sony / Columbia),11-Apr-03,"$135,645,721 ",2003
293,25,4,1,1,The Jungle Book (1967) (Disney),18-Oct-67,"$135,475,744 ",1967
294,58,101,9,26,Chicken Little (Disney),04-Nov-05,"$135,386,342 ",2005
295,17,22,4,3,Teenage Mutant Ninja Turtles (1990) (New Line),30-Mar-90,"$135,265,256 ",1990
296,13,43,4,13,Patch Adams (Universal),25-Dec-98,"$135,026,722 ",1998
297,76,0,14,0,The Godfather (Paramount),15-Mar-72,"$134,966,044 ",1972
298,147,72,22,18,The Incredible Hulk (Universal),13-Jun-08,"$134,806,396 ",2008
299,167,38,33,8,Live Free or Die Hard (Fox),27-Jun-07,"$134,529,431 ",2007
300,142,59,29,12,Wanted (2008) (Universal),27-Jun-08,"$134,508,730 ",2008
301,33,16,10,6,The Rock (Disney),07-Jun-96,"$134,069,199 ",1996
302,154,65,28,16,Mission: Impossible III (Paramount),05-May-06,"$134,029,548 ",2006
303,92,156,14,29,Angels & Demons (Sony / Columbia),15-May-09,"$133,378,559 ",2009
304,121,101,28,16,Troy (Warner Bros.),14-May-04,"$133,378,121 ",2004
305,9,63,2,17,Alvin and the Chipmunks: Chipwrecked (Fox),16-Dec-11,"$133,110,742 ",2011
306,50,97,12,21,Bringing Down the House (Disney),07-Mar-03,"$132,716,668 ",2003
307,212,17,43,3,The Departed (Warner Bros.),06-Oct-06,"$132,384,480 ",2006
308,141,87,23,20,Hulk (Universal),20-Jun-03,"$132,175,930 ",2003
309,38,2,5,0,Close Encounters of the Third Kind (Columbia),16-Nov-77,"$132,088,195 ",1977
310,207,19,35,4,Minority Report (Fox),21-Jun-02,"$132,072,987 ",2002
311,62,105,12,24,Fantastic Four: Rise of the Silver Surfer (Fox),15-Jun-07,"$131,921,992 ",2007
312,11,165,2,31,The Last Airbender (Paramount),01-Jul-10,"$131,601,062 ",2010
313,29,126,7,29,"Lara Croft, Tomb Raider (Paramount)",15-Jun-01,"$131,168,071 ",2001
314,52,2,10,1,The Silence of the Lambs (Orion),14-Feb-91,"$130,742,537 ",1991
315,23,8,3,1,"Honey, I Shrunk the Kids (Disney)",23-Jun-89,"$130,724,390 ",1989
316,9,32,2,5,The Flintstones (Universal),27-May-94,"$130,560,663 ",1994
317,34,32,6,7,Lethal Weapon 4 (Warner Bros.),10-Jul-98,"$130,444,242 ",1998
318,108,104,21,19,Get Smart (Warner Bros.),20-Jun-08,"$130,319,504 ",2008
319,167,43,34,10,American Gangster (Universal),02-Nov-07,"$130,164,472 ",2007
320,135,18,30,3,American Beauty (DreamWorks),15-Sep-99,"$130,096,097 ",1999
321,16,1,1,0,An Officer and a Gentleman (Paramount),28-Jul-82,"$129,795,263 ",1982
322,128,52,20,16,The Ring (DreamWorks),18-Oct-02,"$129,128,681 ",2002
323,35,19,14,2,The Nutty Professor (1996) (Universal),28-Jun-96,"$128,814,458 ",1996
324,193,18,42,1,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (Fox),03-Nov-06,"$128,505,664 ",2006
325,113,64,25,11,Robots (Fox),11-Mar-05,"$128,200,217 ",2005
326,25,12,0,5,Coming to America (Paramount),29-Jun-88,"$128,152,468 ",1988
327,143,4,33,1,"Crouching Tiger, Hidden Dragon (Sony Pictures Classics)",08-Dec-00,"$128,078,605 ",2000
328,166,76,24,16,Shutter Island (Paramount),19-Feb-10,"$128,012,934 ",2010
329,15,19,0,4,Rocky IV (MGM/UA),27-Nov-85,"$127,873,963 ",1985
330,153,11,33,3,Enchanted (Disney),21-Nov-07,"$127,807,274 ",2007
331,168,64,29,10,The Curious Case of Benjamin Button (Paramount),25-Dec-08,"$127,509,575 ",2008
332,58,98,13,21,Sweet Home Alabama (Disney),27-Sep-02,"$127,223,533 ",2002
333,29,17,4,6,Dumb and Dumber (New Line),16-Dec-94,"$127,175,036 ",1994
334,56,99,13,21,2 Fast 2 Furious (Universal),06-Jun-03,"$127,154,156 ",2003
335,40,16,10,7,My Best Friend's Wedding (Sony / TriStar),20-Jun-97,"$127,120,017 ",1997
336,216,46,33,9,Super 8 (Paramount),09-Jun-11,"$127,004,179 ",2011
337,61,59,17,12,The World Is Not Enough (MGM),19-Nov-99,"$126,943,347 ",1999
338,20,5,0,1,Smokey and the Bandit (Universal),27-May-77,"$126,737,978 ",1977
339,32,13,6,5,Sleepless in Seattle (TriStar),25-Jun-93,"$126,680,160 ",1993
340,86,83,19,20,Bee Movie (Paramount / DreamWorks),02-Nov-07,"$126,631,177 ",2007
341,193,69,30,12,Prometheus (Fox),08-Jun-12,"$126,477,084 ",2012
342,34,121,6,26,Mr. Deeds (Sony / Columbia),28-Jun-02,"$126,293,861 ",2002
343,94,82,18,14,Safe House (Universal),10-Feb-12,"$126,181,630 ",2012
344,94,5,18,2,The Truman Show (Paramount),05-Jun-98,"$125,618,228 ",1998
345,119,23,31,4,Erin Brockovich (Universal),17-Mar-00,"$125,595,540 ",2000
346,98,78,23,16,Ocean's Twelve (Warner Bros.),10-Dec-04,"$125,544,296 ",2004
347,88,180,13,27,Terminator Salvation (Warner Bros.),21-May-09,"$125,322,732 ",2009
348,95,46,22,13,Charlie's Angels (Sony / Columbia),03-Nov-00,"$125,305,200 ",2000
349,36,27,5,9,Tomorrow Never Dies (MGM/UA),19-Dec-97,"$125,304,959 ",1997
350,18,12,1,1,Rocky III (MGM/UA),28-May-82,"$125,049,038 ",1982
351,36,88,7,21,The Vow (Sony / Screen Gems),10-Feb-12,"$125,014,030 ",2012
352,117,19,15,7,Cloudy with a Chance of Meatballs (Sony / Columbia),18-Sep-09,"$124,869,468 ",2009
353,140,45,36,8,The Devil Wears Prada (Fox),30-Jun-06,"$124,740,659 ",2006
354,116,48,30,10,Something's Gotta Give (Sony / Columbia),12-Dec-03,"$124,728,615 ",2003
355,143,13,37,3,Traffic (USA Films),27-Dec-00,"$124,115,702 ",2000
356,33,10,10,1,The Birdcage (MGM/UA),08-Mar-96,"$124,060,456 ",1996
357,27,3,3,0,City Slickers (Columbia),07-Jun-91,"$124,033,055 ",1991
358,33,4,3,1,"Good Morning, Vietnam (Disney)",23-Dec-87,"$123,922,029 ",1987
