"data_zone"	"intermediate_zone"	"council_area"	"health_board"	"pct_school_attend"	"alcohol"	"population"	"working_population"	"pct_income_deprived"	"pct_employment_deprived"	"illness"	"mortality"	"drugs"	"pct_depress"	"pct_low_bw"	"hosp_emerg"	"noquals"	"crime"	"pct_no_heating"	"simd_2016_quintile"	"urban"
"79"	"S01006584"	"City Centre West"	"Aberdeen City"	"Grampian"	78	39	648	566	1	2	30	74	55	9	3	69	40	139	4	5	1
"80"	"S01006585"	"City Centre West"	"Aberdeen City"	"Grampian"	84	469	856	677	13	13	120	133	238	18	4	148	119	1672	6	2	1
"81"	"S01006586"	"City Centre West"	"Aberdeen City"	"Grampian"	71	90	1070	893	8	6	85	132	54	14	5	106	85	5041	7	3	1
"82"	"S01006587"	"City Centre East"	"Aberdeen City"	"Grampian"	75	380	551	484	14	11	115	237	90	17	4	147	81	4505	10	2	1
"83"	"S01006588"	"City Centre East"	"Aberdeen City"	"Grampian"	62	119	651	597	5	4	50	91	101	10	11	109	46	5396	9	4	1
"84"	"S01006589"	"City Centre East"	"Aberdeen City"	"Grampian"	79	88	750	653	8	6	65	113	68	11	2	99	91	1068	6	3	1
"85"	"S01006590"	"City Centre East"	"Aberdeen City"	"Grampian"	80	371	785	698	9	9	95	95	143	13	3	126	55	892	7	3	1
"86"	"S01006591"	"Ferryhill North"	"Aberdeen City"	"Grampian"	83	314	758	650	8	8	80	118	209	14	0	101	47	290	1	3	1
"87"	"S01006592"	"Ferryhill North"	"Aberdeen City"	"Grampian"	90	21	697	603	1	1	20	49	0	6	5	54	20	330	3	5	1
"88"	"S01006593"	"Ferryhill North"	"Aberdeen City"	"Grampian"	85	25	801	696	2	2	30	117	0	9	0	55	26	150	3	5	1
"89"	"S01006594"	"Ferryhill North"	"Aberdeen City"	"Grampian"	92	204	525	377	3	3	35	107	41	12	4	68	45	153	2	5	1
"90"	"S01006595"	"Ferryhill North"	"Aberdeen City"	"Grampian"	89	67	930	791	5	3	40	116	18	11	5	71	41	161	4	5	1
"91"	"S01006596"	"Ferryhill North"	"Aberdeen City"	"Grampian"	90	89	771	585	2	2	40	111	26	12	4	86	40	221	3	5	1
"92"	"S01006597"	"Ferryhill North"	"Aberdeen City"	"Grampian"	73	88	551	489	5	5	60	51	0	11	2	89	40	618	9	3	1
"93"	"S01006598"	"Ferryhill South"	"Aberdeen City"	"Grampian"	91	27	1014	707	1	1	20	63	0	9	7	49	22	227	1	5	1
"94"	"S01006599"	"Ferryhill South"	"Aberdeen City"	"Grampian"	89	77	836	634	8	8	90	75	102	16	0	75	82	227	2	4	1
"95"	"S01006600"	"Ferryhill South"	"Aberdeen City"	"Grampian"	88	76	1182	794	4	2	50	126	40	15	5	73	31	237	2	5	1
"96"	"S01006601"	"Ferryhill South"	"Aberdeen City"	"Grampian"	83	57	1075	818	6	5	45	69	150	12	3	78	40	205	2	4	1
"97"	"S01006602"	"Ferryhill South"	"Aberdeen City"	"Grampian"	87	55	934	591	2	1	45	90	29	11	0	65	17	43	0	5	1
"98"	"S01006603"	"Kincorth, Leggart and Nigg North"	"Aberdeen City"	"Grampian"	74	98	848	537	15	14	120	109	303	21	5	117	142	319	1	2	1
"99"	"S01006604"	"Kincorth, Leggart and Nigg North"	"Aberdeen City"	"Grampian"	74	56	675	440	11	7	85	96	91	20	5	103	104	563	1	3	1
"100"	"S01006605"	"Kincorth, Leggart and Nigg North"	"Aberdeen City"	"Grampian"	73	539	830	503	18	11	115	96	262	23	2	153	129	458	1	2	1
"101"	"S01006606"	"Kincorth, Leggart and Nigg North"	"Aberdeen City"	"Grampian"	85	33	856	518	7	7	80	101	0	15	11	93	90	129	1	4	1
"102"	"S01006607"	"Kincorth, Leggart and Nigg North"	"Aberdeen City"	"Grampian"	81	99	927	623	9	8	80	63	119	15	2	102	126	291	0	3	1
"103"	"S01006608"	"Kincorth, Leggart and Nigg South"	"Aberdeen City"	"Grampian"	86	32	1103	726	3	2	50	74	61	11	6	77	66	345	0	4	1
"104"	"S01006609"	"Kincorth, Leggart and Nigg South"	"Aberdeen City"	"Grampian"	74	204	1074	671	9	6	80	111	168	16	2	119	115	242	0	3	1
"105"	"S01006610"	"Kincorth, Leggart and Nigg South"	"Aberdeen City"	"Grampian"	71	88	453	286	14	12	95	94	136	23	16	119	107	265	1	2	1
"106"	"S01006611"	"Kincorth, Leggart and Nigg South"	"Aberdeen City"	"Grampian"	85	126	905	590	10	11	95	128	59	20	9	100	130	332	1	2	1
"107"	"S01006612"	"Kincorth, Leggart and Nigg South"	"Aberdeen City"	"Grampian"	81	69	857	575	6	5	70	94	0	15	9	97	91	187	1	4	1
"108"	"S01006613"	"Cove South"	"Aberdeen City"	"Grampian"	84	8	600	445	2	1	20	65	0	13	3	84	46	67	1	5	1
"109"	"S01006614"	"Cove South"	"Aberdeen City"	"Grampian"	90	61	686	472	1	2	35	32	33	13	0	91	48	73	1	5	1
"110"	"S01006615"	"Cove South"	"Aberdeen City"	"Grampian"	91	13	808	548	1	0	20	50	0	7	0	63	36	NA	0	5	1
"111"	"S01006616"	"Cove South"	"Aberdeen City"	"Grampian"	81	94	780	615	3	1	30	126	58	12	7	88	55	77	2	5	1
"112"	"S01006617"	"Cove South"	"Aberdeen City"	"Grampian"	93	40	658	422	5	5	60	105	0	14	4	79	74	167	3	4	1
"113"	"S01006618"	"Cove South"	"Aberdeen City"	"Grampian"	84	48	503	366	3	3	35	91	62	15	22	65	57	99	1	5	1
"114"	"S01006619"	"Cove North"	"Aberdeen City"	"Grampian"	88	87	864	596	3	4	55	109	94	15	4	98	90	93	3	4	1
"115"	"S01006620"	"Cove North"	"Aberdeen City"	"Grampian"	86	37	819	562	5	4	75	94	0	15	0	97	87	86	2	4	1
"116"	"S01006621"	"Cove North"	"Aberdeen City"	"Grampian"	87	62	523	347	5	4	60	114	0	16	10	92	79	96	3	4	1
"117"	"S01006622"	"Cove North"	"Aberdeen City"	"Grampian"	91	49	659	524	3	3	45	45	0	12	5	96	58	76	3	5	1
"118"	"S01006623"	"Cove North"	"Aberdeen City"	"Grampian"	74	99	736	503	8	9	90	193	34	23	4	99	109	789	3	3	1
"119"	"S01006624"	"Torry West"	"Aberdeen City"	"Grampian"	77	140	822	669	10	10	90	93	134	16	8	111	139	365	9	3	1
"120"	"S01006625"	"Torry West"	"Aberdeen City"	"Grampian"	80	170	618	439	9	9	90	110	0	15	5	99	105	502	0	3	1
"121"	"S01006626"	"Torry West"	"Aberdeen City"	"Grampian"	70	139	720	499	16	13	120	130	237	20	11	125	152	709	1	2	1
"122"	"S01006627"	"Torry West"	"Aberdeen City"	"Grampian"	55	444	890	720	15	16	130	197	501	16	7	140	107	866	5	1	1
"123"	"S01006628"	"Torry West"	"Aberdeen City"	"Grampian"	67	187	1168	984	9	10	85	176	173	12	2	92	117	660	10	3	1
"124"	"S01006629"	"Torry West"	"Aberdeen City"	"Grampian"	67	193	830	517	22	13	115	227	391	22	5	119	159	579	0	1	1
"125"	"S01006630"	"Torry West"	"Aberdeen City"	"Grampian"	76	118	651	410	20	14	170	127	102	20	6	123	200	154	1	2	1
"126"	"S01006631"	"Torry East"	"Aberdeen City"	"Grampian"	61	193	1032	663	19	12	115	146	457	18	5	134	154	960	4	2	1
"127"	"S01006632"	"Torry East"	"Aberdeen City"	"Grampian"	66	356	824	580	17	16	125	169	138	18	8	133	167	389	1	1	1
"128"	"S01006633"	"Torry East"	"Aberdeen City"	"Grampian"	66	173	656	423	21	16	150	110	282	19	7	136	193	748	1	1	1
"129"	"S01006634"	"Torry East"	"Aberdeen City"	"Grampian"	65	193	647	437	28	24	185	134	606	17	8	138	192	944	2	1	1
"130"	"S01006635"	"Torry East"	"Aberdeen City"	"Grampian"	58	95	695	429	16	12	105	59	417	14	6	116	146	403	2	2	1
"131"	"S01006636"	"Torry East"	"Aberdeen City"	"Grampian"	68	296	820	520	29	17	145	171	424	19	6	143	198	683	1	1	1
"132"	"S01006637"	"Hanover South"	"Aberdeen City"	"Grampian"	76	154	803	629	8	7	95	161	121	12	3	99	72	586	6	3	1
"133"	"S01006638"	"Hanover South"	"Aberdeen City"	"Grampian"	65	202	866	738	11	10	125	155	597	15	8	117	84	277	4	2	1
"134"	"S01006639"	"Hanover South"	"Aberdeen City"	"Grampian"	60	254	1004	775	16	12	125	140	171	17	5	136	98	768	7	2	1
"135"	"S01006640"	"Hanover South"	"Aberdeen City"	"Grampian"	86	73	755	695	2	2	20	46	67	9	5	69	47	530	1	5	1
"136"	"S01006641"	"Hanover North"	"Aberdeen City"	"Grampian"	62	135	1082	944	7	7	65	73	292	13	2	86	78	518	5	3	1
"137"	"S01006642"	"Hanover North"	"Aberdeen City"	"Grampian"	77	136	1332	1232	5	5	80	94	104	10	3	98	46	511	6	4	1
"138"	"S01006643"	"Hanover North"	"Aberdeen City"	"Grampian"	55	108	782	719	3	4	50	71	145	11	2	87	35	333	7	4	1
"139"	"S01006644"	"Hanover North"	"Aberdeen City"	"Grampian"	68	110	1102	987	7	6	80	147	17	14	2	86	86	163	3	4	1
"140"	"S01006645"	"George Street"	"Aberdeen City"	"Grampian"	76	153	703	527	22	18	135	119	142	17	2	122	134	726	4	1	1
"141"	"S01006646"	"George Street"	"Aberdeen City"	"Grampian"	63	88	1001	913	4	2	60	136	21	11	3	88	60	1050	8	4	1
"142"	"S01006647"	"George Street"	"Aberdeen City"	"Grampian"	67	195	663	494	12	9	95	115	486	14	7	108	116	377	5	2	1
"143"	"S01006648"	"George Street"	"Aberdeen City"	"Grampian"	78	239	1749	1622	6	6	85	113	99	11	8	84	70	732	8	4	1
"144"	"S01006649"	"George Street"	"Aberdeen City"	"Grampian"	71	160	964	846	10	11	125	95	147	16	4	90	100	426	2	3	1
"145"	"S01006650"	"George Street"	"Aberdeen City"	"Grampian"	74	285	890	774	7	7	95	137	41	13	6	112	67	382	7	3	1
"146"	"S01006651"	"George Street"	"Aberdeen City"	"Grampian"	65	252	658	533	9	9	85	123	60	17	3	94	84	624	6	3	1
"147"	"S01006652"	"George Street"	"Aberdeen City"	"Grampian"	83	53	592	510	5	4	50	93	59	12	6	84	65	592	4	4	1
"148"	"S01006653"	"Ashgrove"	"Aberdeen City"	"Grampian"	88	92	613	489	3	5	45	27	0	12	2	68	24	212	1	5	1
"149"	"S01006654"	"Ashgrove"	"Aberdeen City"	"Grampian"	60	276	873	650	15	14	150	103	231	21	7	112	107	527	1	2	1
"150"	"S01006655"	"Ashgrove"	"Aberdeen City"	"Grampian"	86	78	759	580	8	11	125	240	26	14	8	93	102	646	1	3	1
"151"	"S01006656"	"Ashgrove"	"Aberdeen City"	"Grampian"	72	118	1026	853	8	5	80	82	91	10	5	95	52	215	4	4	1
"152"	"S01006657"	"Ashgrove"	"Aberdeen City"	"Grampian"	70	169	502	430	8	10	100	113	234	17	8	102	73	4446	6	2	1
"153"	"S01006658"	"Froghall, Powis and Sunnybank"	"Aberdeen City"	"Grampian"	54	265	1043	859	10	9	90	96	180	13	8	123	104	537	4	2	1
"154"	"S01006659"	"Froghall, Powis and Sunnybank"	"Aberdeen City"	"Grampian"	75	94	645	504	1	2	30	84	0	12	4	72	38	295	2	5	1
"155"	"S01006660"	"Froghall, Powis and Sunnybank"	"Aberdeen City"	"Grampian"	69	94	536	417	10	5	50	62	71	12	3	107	116	187	5	3	1
"156"	"S01006661"	"Froghall, Powis and Sunnybank"	"Aberdeen City"	"Grampian"	57	33	616	511	2	3	50	75	105	13	5	78	56	292	7	4	1
"157"	"S01006662"	"Froghall, Powis and Sunnybank"	"Aberdeen City"	"Grampian"	59	117	961	801	11	7	105	122	193	13	16	113	135	417	2	3	1
"158"	"S01006663"	"Froghall, Powis and Sunnybank"	"Aberdeen City"	"Grampian"	88	105	544	469	2	1	15	38	0	11	5	73	58	92	3	5	1
"159"	"S01006664"	"Froghall, Powis and Sunnybank"	"Aberdeen City"	"Grampian"	71	44	497	428	5	5	70	34	41	13	9	77	74	342	3	4	1
"160"	"S01006665"	"Froghall, Powis and Sunnybank"	"Aberdeen City"	"Grampian"	76	16	721	626	3	3	50	91	0	9	6	87	69	222	8	5	1
"161"	"S01006666"	"Seaton"	"Aberdeen City"	"Grampian"	72	449	925	585	23	17	155	141	342	20	11	146	166	833	5	1	1
"162"	"S01006667"	"Seaton"	"Aberdeen City"	"Grampian"	51	426	745	543	19	20	165	157	706	20	4	161	153	927	8	1	1
"163"	"S01006668"	"Seaton"	"Aberdeen City"	"Grampian"	73	57	926	823	4	4	60	169	43	10	3	73	59	184	3	5	1
"164"	"S01006669"	"Seaton"	"Aberdeen City"	"Grampian"	87	133	1078	880	8	9	125	150	212	16	8	101	99	576	3	3	1
"165"	"S01006670"	"Seaton"	"Aberdeen City"	"Grampian"	70	116	946	806	7	6	95	113	24	15	9	88	80	222	4	4	1
"166"	"S01006671"	"Old Aberdeen"	"Aberdeen City"	"Grampian"	77	31	2343	2194	1	1	25	55	12	7	0	49	39	111	3	5	1
"167"	"S01006672"	"Old Aberdeen"	"Aberdeen City"	"Grampian"	64	206	804	597	15	8	100	128	144	15	5	154	144	809	2	2	1
"168"	"S01006673"	"Old Aberdeen"	"Aberdeen City"	"Grampian"	65	355	837	670	11	7	100	91	297	17	6	138	125	478	2	2	1
"169"	"S01006674"	"Old Aberdeen"	"Aberdeen City"	"Grampian"	66	371	928	572	21	17	125	141	762	20	9	142	151	475	4	1	1
"170"	"S01006675"	"Tillydrone"	"Aberdeen City"	"Grampian"	61	238	837	581	20	14	135	187	651	15	13	151	129	885	1	1	1
"171"	"S01006676"	"Tillydrone"	"Aberdeen City"	"Grampian"	60	239	745	483	24	18	150	138	299	18	3	138	136	739	1	1	1
